Topup Name,GPS Latitude,GPS Longitude
BT01621,13.8891,100.477
BT01830,13.9006,100.476
BT03735,13.8877,100.48
BT04877,13.8975,100.474
BT04973,13.8618,100.475
BT06206,13.8506,100.469
BT06497,13.8589,100.4986
BT06723,13.865,100.467
BT09001,13.8622,100.4973
BT09308,13.8529,100.4451
BT104942,13.8705,100.5446
BT106950,13.8915,100.473
BT108230,13.8633,100.5038
BT109092,13.8454,100.48
BT111383,13.8433,100.4422
BT117027,13.8254,100.8475
BT11833,13.8694,100.474
BT119706,13.9334,100.511
BT123199,13.8658,100.456
BT123251,13.8843,100.5032
BT123852,13.8618,100.5005
BT123853,13.5124,100.30036
BT125111,13.8945,100.5522
BT125137,13.8747,100.4992
BT130136,13.8624,100.47
BT132277,13.8753,100.4945
BT132634,13.9082,100.5524
BT133355,13.9083,100.5539
BT133424,13.859,100.4882
BT135702,13.85,100.4548
BT136513,13.9106,100.5531
BT138645,13.8884,100.48
BT14065,13.9119,100.5534
BT145851,13.8865,100.4913
BT147932,13.9701,100.433
BT147989,13.8435,100.4466
BT147990,13.8439,100.447
BT147993,13.8414,100.4463
BT148017,13.8738,100.4936
BT148668,13.980757,100.431074
BT148698,13.9367,100.5185
BT152270,13.8859,100.5184
BT152289,13.84329,100.51107
BT152332,13.8835,100.5274
BT152335,13.8778,100.5254
BT154087,13.9225,100.4739
BT154098,13.9231,100.4739
BT154119,13.9356,100.5189
BT183385,13.8356,100.4819
BT183386,13.8552,100.5091
BT183387,13.9121,100.5209
BT185001,13.910586,100.551488
BT185028,0,0
BT21229,13.8192,100.4569
BT22028,13.8557,100.4867
BT22319,13.9276,100.4834
BT23320,13.8226,100.5023
BT23761,13.967666,100.46255
BT24465,13.8431,100.468
BT24499,13.901869,100.450239
BT25554,13.923477,100.485497
BT28980,13.838,100.4677
BT29015,13.8588,100.4839
BT29097,13.8443,100.4953
BT29189,13.8477,100.4419
BT31076,13.8305,100.4749
BT33469,13.8979,100.475
BT33813,13.871988,100.45571
BT35219,13.9325,100.5158
BT36249,13.954,100.4443
BT38114,13.8418,100.4946
BT40871,13.8321,100.4814
BT50238,13.856609,100.505107
BT50527,13.9424,100.5409
BT52586,13.8618,100.453
BT52664,13.9173,100.486
BT52809,13.9003,100.47
BT52926,13.8438,100.4868
BT53103,13.8236,100.5063
BT54308,13.985387,100.399887
BT55483,13.9087,100.5532
BT59272,13.8564,100.4808
BT59793,13.8469,100.4823
BT62079,13.848,100.4672
BT62355,13.8464,100.4791
BT63749,13.05811,100.86315
BT64012,13.8223,100.5043
BT64420,13.8926,100.4977
BT66127,13.843686,100.498283
BT66629,13.974616,100.441362
BT72649,13.9342,100.5145
BT72650,13.9325,100.5158
BT74057,13.8813,100.516
BT74653,13.9522,100.544
BT76691,13.9414,100.4606
BT77253,13.8618,100.453
BT91788,13.845547,100.481687
